mGluino [GeV], NLO+NLL Cross section [pb],Uncertainty (NLO + NLL) [%],NNLO+NNLL Cross section [pb],Uncertainty (NNLOapprox + NNLL) [%]
2230.0,0.000309731,36.7432,0.000305,22.25
2235.0,0.000301864,36.7687,0.000297,22.33
2240.0,0.000294675,36.9412,0.00029,22.4
2245.0,0.000287398,37.1824,0.000283,22.47
2250.0,0.00028065,37.1485,0.000275,22.55
2255.0,0.000273425,37.3577,0.000268,22.63
2260.0,0.000266633,37.3399,0.000262,22.7
2265.0,0.000260448,37.5246,0.000255,22.78
2270.0,0.000254453,37.7047,0.000248,22.86
2275.0,0.000248358,37.8684,0.000242,22.94
2280.0,0.00024216,38.071,0.000236,23.02
2285.0,0.000235996,38.26,0.00023,23.1
2290.0,0.000230291,38.1896,0.000224,23.18
2295.0,0.000224084,38.4083,0.000219,23.26
2300.0,0.000219049,38.5249,0.000213,23.34
2305.0,0.000214032,38.6523,0.000208,23.43
2310.0,0.000208248,38.6168,0.000202,23.51
2315.0,0.000203199,38.742,0.000197,23.6
2320.0,0.00019809,38.9115,0.000192,23.68
2325.0,0.000193715,39.2614,0.000187,23.77
2330.0,0.000189162,39.1278,0.000183,23.86
2335.0,0.000184075,39.3222,0.000178,23.95
2340.0,0.000180106,39.3788,0.000174,24.04
2345.0,0.000175678,39.8124,0.000169,24.13
2350.0,0.000171031,39.6435,0.000165,24.22
2355.0,0.000167051,39.707,0.000161,24.31
2360.0,0.000163052,39.8228,0.000157,24.41
2365.0,0.000159079,39.8948,0.000153,24.5
2370.0,0.000155058,40.0085,0.000149,24.6
2375.0,0.000151091,40.0903,0.000145,24.7
2380.0,0.000147865,40.4762,0.000142,24.79
2385.0,0.000143836,40.6052,0.000138,24.89
2390.0,0.00014101,40.553,0.000134,24.99
2395.0,0.000137035,40.6244,0.000131,25.09
2400.0,0.000133965,40.7945,0.000128,25.19
2405.0,0.000130879,40.9847,0.000125,25.3
2410.0,0.000127783,41.1703,0.000121,25.4
2415.0,0.0001241,40.9566,0.000118,25.5
2420.0,0.000121089,41.0638,0.000115,25.61
2425.0,0.000118777,41.508,0.000113,25.71
2430.0,0.000115804,41.5799,0.00011,25.82
2435.0,0.00011285,41.6479,0.000107,25.93
2440.0,0.000109965,41.6973,0.000104,26.04
2445.0,0.000107077,41.6702,0.000102,26.15
2450.0,0.000104886,41.9997,9.91e-05,26.26
2455.0,0.000102035,41.9184,9.66e-05,26.37
2460.0,9.97969e-05,42.1891,9.41e-05,26.49
2465.0,9.73046e-05,42.2923,9.18e-05,26.6
2470.0,9.50093e-05,42.3683,8.95e-05,26.72
2475.0,9.26878e-05,42.5345,8.72e-05,26.84
2480.0,9.04143e-05,42.5981,8.5e-05,26.96
2485.0,8.82972e-05,42.816,8.29e-05,27.08
2490.0,8.61566e-05,42.8228,8.08e-05,27.2
2495.0,8.40135e-05,42.9963,7.88e-05,27.33
2500.0,8.20068e-05,43.1071,7.68e-05,27.45
2505.0,8.00048e-05,43.2345,7.49e-05,27.58
2510.0,7.81237e-05,43.3972,7.3e-05,27.71
2515.0,7.62249e-05,43.4971,7.12e-05,27.84
2520.0,7.43669e-05,43.522,6.94e-05,27.97
2525.0,7.25103e-05,43.7345,6.77e-05,28.11
2530.0,7.08326e-05,43.9086,6.6e-05,28.24
2535.0,6.91512e-05,43.9687,6.43e-05,28.38
2540.0,6.74523e-05,44.0719,6.27e-05,28.52
2545.0,6.57976e-05,44.1696,6.11e-05,28.66
2550.0,6.42534e-05,44.3683,5.96e-05,28.8
2555.0,6.26926e-05,44.4751,5.81e-05,28.94
2560.0,6.11929e-05,44.5956,5.66e-05,29.09
2565.0,5.96882e-05,44.7074,5.52e-05,29.23
2570.0,5.82621e-05,44.9635,5.38e-05,29.38
2575.0,5.67937e-05,44.99,5.25e-05,29.53
2580.0,5.54544e-05,45.1889,5.12e-05,29.68
2585.0,5.41303e-05,45.2045,4.99e-05,29.84
2590.0,5.28013e-05,45.3827,4.86e-05,29.99
2595.0,5.15257e-05,45.5092,4.74e-05,30.15
2600.0,5.03066e-05,45.6584,4.62e-05,30.31
2605.0,4.90915e-05,45.8195,4.51e-05,30.47
2610.0,4.79282e-05,45.9043,4.39e-05,30.63
2615.0,4.67741e-05,46.1614,4.28e-05,30.8
2620.0,4.55954e-05,46.1966,4.18e-05,30.97
2625.0,4.44978e-05,46.3849,4.07e-05,31.13
2630.0,4.3506e-05,46.4682,3.97e-05,31.3
2635.0,4.23826e-05,46.6499,3.87e-05,31.48
2640.0,4.14053e-05,46.7612,3.77e-05,31.65
2645.0,4.0404e-05,46.8608,3.68e-05,31.83
2650.0,3.93955e-05,46.9937,3.59e-05,32.01
2655.0,3.84871e-05,47.2308,3.5e-05,32.19
2660.0,3.75902e-05,47.3148,3.41e-05,32.37
2665.0,3.66599e-05,47.5387,3.32e-05,32.56
2670.0,3.57884e-05,47.6153,3.24e-05,32.74
2675.0,3.48943e-05,47.7142,3.16e-05,32.93
2680.0,3.40897e-05,47.9173,3.08e-05,33.12
2685.0,3.31887e-05,48.0319,3e-05,33.32
